('Fold : ', 0)
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
Iter 86, Minibatch Loss= 473.401672, Training Accuracy= 0.96667
Iter 87, Minibatch Loss= 184.972239, Training Accuracy= 0.98000
Iter 88, Minibatch Loss= 167.653503, Training Accuracy= 0.98000
Iter 89, Minibatch Loss= 92.663422, Training Accuracy= 0.99333
Iter 90, Minibatch Loss= 441.602295, Training Accuracy= 0.96667
Iter 91, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 92, Minibatch Loss= 91.673879, Training Accuracy= 0.98667
Iter 93, Minibatch Loss= 299.663930, Training Accuracy= 0.96667
Iter 94, Minibatch Loss= 42.189428, Training Accuracy= 0.99333
Iter 95, Minibatch Loss= 40.268725, Training Accuracy= 0.99333
Iter 96, Minibatch Loss= 500.209452, Training Accuracy= 0.96000
Iter 97, Minibatch Loss= 88.997238, Training Accuracy= 0.98667
Iter 98, Minibatch Loss= 803.500163, Training Accuracy= 0.97333
Iter 99, Minibatch Loss= 240.948929, Training Accuracy= 0.98667
Iter 100, Minibatch Loss= 80.149455, Training Accuracy= 0.98000
Iter 101, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 102, Minibatch Loss= 51.197057, Training Accuracy= 0.98667
Iter 103, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 104, Minibatch Loss= 46.991536, Training Accuracy= 0.99333
Iter 105, Minibatch Loss= 358.165634, Training Accuracy= 0.98000
Iter 106, Minibatch Loss= 4.268437, Training Accuracy= 0.99333
Iter 107, Minibatch Loss= 46.266276, Training Accuracy= 0.98667
Iter 108, Minibatch Loss= 464.139412, Training Accuracy= 0.96000
Iter 109, Minibatch Loss= 82.910467, Training Accuracy= 0.98667
Iter 110, Minibatch Loss= 63.199764, Training Accuracy= 0.98667
Iter 111, Minibatch Loss= 221.029620, Training Accuracy= 0.97333
Iter 112, Minibatch Loss= 116.832789, Training Accuracy= 0.98667
Iter 113, Minibatch Loss= 92.459841, Training Accuracy= 0.98667
Iter 114, Minibatch Loss= 213.447240, Training Accuracy= 0.98667
Iter 115, Minibatch Loss= 46.405599, Training Accuracy= 0.98667
Iter 116, Minibatch Loss= 93.207367, Training Accuracy= 0.99333
Iter 117, Minibatch Loss= 37.736041, Training Accuracy= 0.98667
Iter 118, Minibatch Loss= 230.955261, Training Accuracy= 0.98667
Iter 119, Minibatch Loss= 131.898104, Training Accuracy= 0.98000
Iter 120, Minibatch Loss= 181.587626, Training Accuracy= 0.99333
Iter 121, Minibatch Loss= 11.138073, Training Accuracy= 0.99333
Iter 122, Minibatch Loss= 172.838854, Training Accuracy= 0.97333
Iter 123, Minibatch Loss= 17.956185, Training Accuracy= 0.98667
Iter 124, Minibatch Loss= 42.710988, Training Accuracy= 0.99333
Iter 125, Minibatch Loss= 321.042445, Training Accuracy= 0.97333
Iter 126, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 127, Minibatch Loss= 55.193593, Training Accuracy= 0.99333
Iter 128, Minibatch Loss= 354.694987, Training Accuracy= 0.98667
Iter 129, Minibatch Loss= 19.744310, Training Accuracy= 0.99333
Iter 130, Minibatch Loss= 22.886668, Training Accuracy= 0.99333
Iter 131, Minibatch Loss= 55.525782, Training Accuracy= 0.99333
Iter 132, Minibatch Loss= 31.999219, Training Accuracy= 0.99333
Iter 133, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 134, Minibatch Loss= 2.592760, Training Accuracy= 0.99333
Iter 135, Minibatch Loss= 2.833021, Training Accuracy= 0.99333
Iter 136, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 137, Minibatch Loss= 50.839635, Training Accuracy= 0.99333
Iter 138, Minibatch Loss= 49.342214, Training Accuracy= 0.99333
Iter 139, Minibatch Loss= 34.164050, Training Accuracy= 0.99333
Iter 140, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 141, Minibatch Loss= 266.791463, Training Accuracy= 0.99333
Iter 142, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 143, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 144, Minibatch Loss= 19.171666, Training Accuracy= 0.99333
Iter 145, Minibatch Loss= 212.538452, Training Accuracy= 0.98667
Iter 146, Minibatch Loss= 5.563360, Training Accuracy= 0.99333
Iter 147, Minibatch Loss= 142.528829, Training Accuracy= 0.97333
Iter 148, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 149, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 150, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 151, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 152, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 153, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 154, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 155, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 156, Minibatch Loss= 38.762553, Training Accuracy= 0.99333
Iter 157, Minibatch Loss= 3.057500, Training Accuracy= 0.99333
Iter 158, Minibatch Loss= 73.223857, Training Accuracy= 0.99333
Iter 159, Minibatch Loss= 181.929321, Training Accuracy= 0.99333
Iter 160, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 161, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 162, Minibatch Loss= 6.712422, Training Accuracy= 0.99333
Iter 163, Minibatch Loss= 67.555389, Training Accuracy= 0.98667
Iter 164, Minibatch Loss= 40.968491, Training Accuracy= 0.99333
Iter 165, Minibatch Loss= 63.959714, Training Accuracy= 0.98667
Iter 166, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 167, Minibatch Loss= 299.738566, Training Accuracy= 0.97333
Iter 168, Minibatch Loss= 106.118123, Training Accuracy= 0.98667
Iter 169, Minibatch Loss= 237.705758, Training Accuracy= 0.98667
Iter 170, Minibatch Loss= 178.729375, Training Accuracy= 0.97333
Iter 171, Minibatch Loss= 115.416534, Training Accuracy= 0.99333
Iter 172, Minibatch Loss= 28.270704, Training Accuracy= 0.99333
Iter 173, Minibatch Loss= 215.174330, Training Accuracy= 0.98667
Iter 174, Minibatch Loss= 700.489665, Training Accuracy= 0.95333
Iter 175, Minibatch Loss= 235.823201, Training Accuracy= 0.97333
Iter 176, Minibatch Loss= 596.200887, Training Accuracy= 0.96000
Iter 177, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 178, Minibatch Loss= 55.404297, Training Accuracy= 0.99333
Iter 179, Minibatch Loss= 87.043999, Training Accuracy= 0.98000
Iter 180, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 181, Minibatch Loss= 4.372708, Training Accuracy= 0.99333
Iter 182, Minibatch Loss= 6.501849, Training Accuracy= 0.99333
Iter 183, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 184, Minibatch Loss= 41.414726, Training Accuracy= 0.98667
Iter 185, Minibatch Loss= 12.076393, Training Accuracy= 0.99333
Iter 186, Minibatch Loss= 315.395833, Training Accuracy= 0.98667
Iter 187, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 188, Minibatch Loss= 170.188278, Training Accuracy= 0.97333
Iter 189, Minibatch Loss= 102.431091, Training Accuracy= 0.99333
Iter 190, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 191, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 192, Minibatch Loss= 77.877501, Training Accuracy= 0.98000
Iter 193, Minibatch Loss= 52.862264, Training Accuracy= 0.99333
Iter 194, Minibatch Loss= 345.711833, Training Accuracy= 0.98667
Iter 195, Minibatch Loss= 27.681458, Training Accuracy= 0.99333
Iter 196, Minibatch Loss= 742.014323, Training Accuracy= 0.98667
Iter 197, Minibatch Loss= 59.374690, Training Accuracy= 0.98000
Iter 198, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 199, Minibatch Loss= 79.349350, Training Accuracy= 0.98000

Training complete!
('accuracy : ', 0.78260869565217395)
('precision : ', 0.79710144927536231)
('recall : ', 0.78260869565217395)
('f1 : ', 0.78129117259552039)


('Fold : ', 1)
Iter 0, Minibatch Loss= 106653.333333, Training Accuracy= 0.18667
Iter 1, Minibatch Loss= 74397.781250, Training Accuracy= 0.19333
Iter 2, Minibatch Loss= 59211.153646, Training Accuracy= 0.25333
Iter 3, Minibatch Loss= 53273.868490, Training Accuracy= 0.36667
Iter 4, Minibatch Loss= 41356.888021, Training Accuracy= 0.36667
Iter 5, Minibatch Loss= 33408.376953, Training Accuracy= 0.46000
Iter 6, Minibatch Loss= 31853.121094, Training Accuracy= 0.37333
Iter 7, Minibatch Loss= 28634.177734, Training Accuracy= 0.42000
Iter 8, Minibatch Loss= 22661.308594, Training Accuracy= 0.56000
Iter 9, Minibatch Loss= 23707.715495, Training Accuracy= 0.51333
Iter 10, Minibatch Loss= 19947.251953, Training Accuracy= 0.58667
Iter 11, Minibatch Loss= 17614.977865, Training Accuracy= 0.56000
Iter 12, Minibatch Loss= 17761.149740, Training Accuracy= 0.63333
Iter 13, Minibatch Loss= 15224.256836, Training Accuracy= 0.62667
Iter 14, Minibatch Loss= 12583.584961, Training Accuracy= 0.62667
Iter 15, Minibatch Loss= 9958.418457, Training Accuracy= 0.67333
Iter 16, Minibatch Loss= 10473.522786, Training Accuracy= 0.70000
Iter 17, Minibatch Loss= 9583.845215, Training Accuracy= 0.68000
Iter 18, Minibatch Loss= 4060.616292, Training Accuracy= 0.80667
Iter 19, Minibatch Loss= 6590.462891, Training Accuracy= 0.70667
Iter 20, Minibatch Loss= 5877.564941, Training Accuracy= 0.77333
Iter 21, Minibatch Loss= 5991.820882, Training Accuracy= 0.78000
Iter 22, Minibatch Loss= 7636.811442, Training Accuracy= 0.80000
Iter 23, Minibatch Loss= 4757.542074, Training Accuracy= 0.81333
Iter 24, Minibatch Loss= 6456.381429, Training Accuracy= 0.74667
Iter 25, Minibatch Loss= 2922.483887, Training Accuracy= 0.86667
Iter 26, Minibatch Loss= 4534.803711, Training Accuracy= 0.78667
Iter 27, Minibatch Loss= 1741.536540, Training Accuracy= 0.90667
Iter 28, Minibatch Loss= 3449.423177, Training Accuracy= 0.88000
Iter 29, Minibatch Loss= 5352.186564, Training Accuracy= 0.76667
Iter 30, Minibatch Loss= 2605.685028, Training Accuracy= 0.88000
Iter 31, Minibatch Loss= 5283.816569, Training Accuracy= 0.82000
Iter 32, Minibatch Loss= 1573.898458, Training Accuracy= 0.91333
Iter 33, Minibatch Loss= 5911.943685, Training Accuracy= 0.82000
Iter 34, Minibatch Loss= 2224.217651, Training Accuracy= 0.90000
Iter 35, Minibatch Loss= 1067.935588, Training Accuracy= 0.92667
Iter 36, Minibatch Loss= 2592.628947, Training Accuracy= 0.88000
Iter 37, Minibatch Loss= 1469.991943, Training Accuracy= 0.89333
Iter 38, Minibatch Loss= 1861.870483, Training Accuracy= 0.92000
Iter 39, Minibatch Loss= 1320.582336, Training Accuracy= 0.91333
Iter 40, Minibatch Loss= 842.306396, Training Accuracy= 0.94667
Iter 41, Minibatch Loss= 1691.231852, Training Accuracy= 0.92000
Iter 42, Minibatch Loss= 1001.166992, Training Accuracy= 0.94667
Iter 43, Minibatch Loss= 944.267273, Training Accuracy= 0.92000
Iter 44, Minibatch Loss= 627.431793, Training Accuracy= 0.96667
Iter 45, Minibatch Loss= 686.756165, Training Accuracy= 0.94000
Iter 46, Minibatch Loss= 1135.164510, Training Accuracy= 0.92000
Iter 47, Minibatch Loss= 648.414001, Training Accuracy= 0.95333
Iter 48, Minibatch Loss= 884.575745, Training Accuracy= 0.94667
Iter 49, Minibatch Loss= 532.198608, Training Accuracy= 0.96000
Iter 50, Minibatch Loss= 545.562317, Training Accuracy= 0.94667
Iter 51, Minibatch Loss= 518.073491, Training Accuracy= 0.94667
Iter 52, Minibatch Loss= 196.720591, Training Accuracy= 0.98000
Iter 53, Minibatch Loss= 83.101482, Training Accuracy= 0.98000
Iter 54, Minibatch Loss= 917.149943, Training Accuracy= 0.94667
Iter 55, Minibatch Loss= 492.321342, Training Accuracy= 0.95333
Iter 56, Minibatch Loss= 449.010793, Training Accuracy= 0.96000
Iter 57, Minibatch Loss= 543.935099, Training Accuracy= 0.97333
Iter 58, Minibatch Loss= 748.648599, Training Accuracy= 0.93333
Iter 59, Minibatch Loss= 620.136663, Training Accuracy= 0.96667
Iter 60, Minibatch Loss= 143.883280, Training Accuracy= 0.98667
Iter 61, Minibatch Loss= 90.140180, Training Accuracy= 0.98667
Iter 62, Minibatch Loss= 9.099922, Training Accuracy= 0.99333
Iter 63, Minibatch Loss= 481.316584, Training Accuracy= 0.96000
Iter 64, Minibatch Loss= 512.143748, Training Accuracy= 0.96000
Iter 65, Minibatch Loss= 492.011922, Training Accuracy= 0.98000
Iter 66, Minibatch Loss= 367.674945, Training Accuracy= 0.96667
Iter 67, Minibatch Loss= 32.846093, Training Accuracy= 0.98667
Iter 68, Minibatch Loss= 293.710154, Training Accuracy= 0.97333
Iter 69, Minibatch Loss= 456.064728, Training Accuracy= 0.96000
Iter 70, Minibatch Loss= 347.398193, Training Accuracy= 0.96000
Iter 71, Minibatch Loss= 831.846713, Training Accuracy= 0.94667
Iter 72, Minibatch Loss= 266.758506, Training Accuracy= 0.96000
Iter 73, Minibatch Loss= 93.837423, Training Accuracy= 0.98000
Iter 74, Minibatch Loss= 388.146993, Training Accuracy= 0.98667
Iter 75, Minibatch Loss= 7.918594, Training Accuracy= 0.99333
Iter 76, Minibatch Loss= 731.825175, Training Accuracy= 0.95333
Iter 77, Minibatch Loss= 220.492137, Training Accuracy= 0.98000
Iter 78, Minibatch Loss= 351.115097, Training Accuracy= 0.96667
Iter 79, Minibatch Loss= 334.723195, Training Accuracy= 0.97333
Iter 80, Minibatch Loss= 124.503225, Training Accuracy= 0.99333
Iter 81, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 82, Minibatch Loss= 587.291066, Training Accuracy= 0.96000
Iter 83, Minibatch Loss= 33.504011, Training Accuracy= 0.98667
Iter 84, Minibatch Loss= 494.590515, Training Accuracy= 0.98000
Iter 85, Minibatch Loss= 99.058177, Training Accuracy= 0.99333
Iter 86, Minibatch Loss= 292.362325, Training Accuracy= 0.98000
Iter 87, Minibatch Loss= 559.538015, Training Accuracy= 0.97333
Iter 88, Minibatch Loss= 103.163228, Training Accuracy= 0.99333
Iter 89, Minibatch Loss= 128.526357, Training Accuracy= 0.98000
Iter 90, Minibatch Loss= 11.298307, Training Accuracy= 0.99333
Iter 91, Minibatch Loss= 76.341004, Training Accuracy= 0.98000
Iter 92, Minibatch Loss= 209.528259, Training Accuracy= 0.98000
Iter 93, Minibatch Loss= 221.619840, Training Accuracy= 0.96667
Iter 94, Minibatch Loss= 78.671769, Training Accuracy= 0.98000
Iter 95, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 96, Minibatch Loss= 413.773834, Training Accuracy= 0.97333
Iter 97, Minibatch Loss= 219.705420, Training Accuracy= 0.98667
Iter 98, Minibatch Loss= 18.096172, Training Accuracy= 0.99333
Iter 99, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 100, Minibatch Loss= 69.755444, Training Accuracy= 0.98667
Iter 101, Minibatch Loss= 89.387815, Training Accuracy= 0.98667
Iter 102, Minibatch Loss= 275.818446, Training Accuracy= 0.97333
Iter 103, Minibatch Loss= 54.991353, Training Accuracy= 0.98667
Iter 104, Minibatch Loss= 66.232905, Training Accuracy= 0.98667
Iter 105, Minibatch Loss= 168.174011, Training Accuracy= 0.98000
Iter 106, Minibatch Loss= 60.648722, Training Accuracy= 0.98667
Iter 107, Minibatch Loss= 78.660807, Training Accuracy= 0.99333
Iter 108, Minibatch Loss= 46.893804, Training Accuracy= 0.99333
Iter 109, Minibatch Loss= 56.139584, Training Accuracy= 0.98667
Iter 110, Minibatch Loss= 113.349141, Training Accuracy= 0.98667
Iter 111, Minibatch Loss= 154.872915, Training Accuracy= 0.98000
Iter 112, Minibatch Loss= 37.852292, Training Accuracy= 0.99333
Iter 113, Minibatch Loss= 359.290771, Training Accuracy= 0.98667
Iter 114, Minibatch Loss= 332.652873, Training Accuracy= 0.99333
Iter 115, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 116, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 117, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 118, Minibatch Loss= 8.989141, Training Accuracy= 0.99333
Iter 119, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 120, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 121, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 122, Minibatch Loss= 170.824272, Training Accuracy= 0.98667
Iter 123, Minibatch Loss= 41.363073, Training Accuracy= 0.99333
Iter 124, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 125, Minibatch Loss= 63.525157, Training Accuracy= 0.99333
Iter 126, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 127, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 128, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 129, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 130, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 131, Minibatch Loss= 193.550077, Training Accuracy= 0.96667
Iter 132, Minibatch Loss= 271.384532, Training Accuracy= 0.98000
Iter 133, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 134, Minibatch Loss= 88.679372, Training Accuracy= 0.99333
Iter 135, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 136, Minibatch Loss= 90.630313, Training Accuracy= 0.98667
Iter 137, Minibatch Loss= 106.831767, Training Accuracy= 0.99333
Iter 138, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 139, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 140, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 141, Minibatch Loss= 126.897634, Training Accuracy= 0.99333
Iter 142, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 143, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 144, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 145, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 146, Minibatch Loss= 52.390808, Training Accuracy= 0.99333
Iter 147, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 148, Minibatch Loss= 95.154429, Training Accuracy= 0.99333
Iter 149, Minibatch Loss= 23.679166, Training Accuracy= 0.99333
Iter 150, Minibatch Loss= 94.372971, Training Accuracy= 0.98000
Iter 151, Minibatch Loss= 34.248230, Training Accuracy= 0.99333
Iter 152, Minibatch Loss= 4.333281, Training Accuracy= 0.99333
Iter 153, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 154, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 155, Minibatch Loss= 98.287252, Training Accuracy= 0.98667
Iter 156, Minibatch Loss= 17.622292, Training Accuracy= 0.99333
Iter 157, Minibatch Loss= 143.119310, Training Accuracy= 0.98000
Iter 158, Minibatch Loss= 1.346563, Training Accuracy= 0.99333
Iter 159, Minibatch Loss= 28.568723, Training Accuracy= 0.99333
Iter 160, Minibatch Loss= 228.250785, Training Accuracy= 0.98000
Iter 161, Minibatch Loss= 21.179218, Training Accuracy= 0.99333
Iter 162, Minibatch Loss= 65.093058, Training Accuracy= 0.98667
Iter 163, Minibatch Loss= 101.595652, Training Accuracy= 0.98667
Iter 164, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 165, Minibatch Loss= 3.323255, Training Accuracy= 0.99333
Iter 166, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 167, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 168, Minibatch Loss= 3.875833, Training Accuracy= 0.99333
Iter 169, Minibatch Loss= 176.756877, Training Accuracy= 0.98667
Iter 170, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 171, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 172, Minibatch Loss= 56.233281, Training Accuracy= 0.99333
Iter 173, Minibatch Loss= 42.864685, Training Accuracy= 0.99333
Iter 174, Minibatch Loss= 19.333204, Training Accuracy= 0.98667
Iter 175, Minibatch Loss= 14.847135, Training Accuracy= 0.99333
Iter 176, Minibatch Loss= 37.255468, Training Accuracy= 0.99333
Iter 177, Minibatch Loss= 117.621874, Training Accuracy= 0.98667
Iter 178, Minibatch Loss= 89.460936, Training Accuracy= 0.98667
Iter 179, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 180, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
